sira	datesk	Item Name	Date	price
253	20121207	Brinjal (R)	10.09.2012	13
254	20121208	Brinjal (R)	11.09.2012	13
255	20121210	Brinjal (R)	12.09.2012	13
256	20121211	Brinjal (R)	13.09.2012	13
257	20121212	Brinjal (R)	14.09.2012	13
258	20121213	Brinjal (R)	15.09.2012	14
259	20121214	Brinjal (R)	16.09.2012	14
260	20121215	Brinjal (R)	17.09.2012	14
261	20121217	Brinjal (R)	18.09.2012	14
262	20121218	Brinjal (R)	19.09.2012	14
263	20121219	Brinjal (R)	20.09.2012	13
264	20121220	Brinjal (R)	21.09.2012	13
265	20121221	Brinjal (R)	22.09.2012	12
266	20121222	Brinjal (R)	23.09.2012	11
267	20121224	Brinjal (R)	24.09.2012	12
268	20121225	Brinjal (R)	25.09.2012	13
269	20121226	Brinjal (R)	26.09.2012	12
270	20121228	Brinjal (R)	27.09.2012	11
271	20121229	Brinjal (R)	28.09.2012	11
272	20121231	Brinjal (R)	29.09.2012	11
273	20130101	Brinjal (R)	30.09.2012	11
274	20130102	Brinjal (R)	1.10.2012	11
275	20130103	Brinjal (R)	2.10.2012	11
276	20130104	Brinjal (R)	3.10.2012	11
277	20130105	Brinjal (R)	4.10.2012	11
278	20130107	Brinjal (R)	5.10.2012	12
279	20130108	Brinjal (R)	6.10.2012	13
280	20130109	Brinjal (R)	7.10.2012	16
281	20130110	Brinjal (R)	8.10.2012	16
282	20130111	Brinjal (R)	9.10.2012	16
283	20130112	Brinjal (R)	10.10.2012	16
284	20130113	Brinjal (R)	11.10.2012	16
285	20130114	Brinjal (R)	12.10.2012	22
286	20130115	Brinjal (R)	13.10.2012	35
287	20130116	Brinjal (R)	14.10.2012	33
288	20130117	Brinjal (R)	15.10.2012	30
289	20130118	Brinjal (R)	16.10.2012	28
290	20130119	Brinjal (R)	17.10.2012	22
291	20130121	Brinjal (R)	18.10.2012	22
292	20130122	Brinjal (R)	19.10.2012	25
293	20130123	Brinjal (R)	20.10.2012	25
294	20130124	Brinjal (R)	21.10.2012	25
295	20130125	Brinjal (R)	22.10.2012	25
296	20130126	Brinjal (R)	23.10.2012	26
297	20130128	Brinjal (R)	24.10.2012	25
298	20130129	Brinjal (R)	25.10.2012	26
299	20130130	Brinjal (R)	26.10.2012	25
300	20130131	Brinjal (R)	27.10.2012	24
301	20130201	Brinjal (R)	28.10.2012	22
302	20130202	Brinjal (R)	29.10.2012	21
303	20130204	Brinjal (R)	30.10.2012	20
304	20130205	Brinjal (R)	31.10.2012	21
305	20130206	Brinjal (R)	1.11.2012	25
306	20130207	Brinjal (R)	2.11.2012	20
307	20130208	Brinjal (R)	3.11.2012	20
308	20130209	Brinjal (R)	4.11.2012	19
309	20130211	Brinjal (R)	5.11.2012	19
310	20130212	Brinjal (R)	6.11.2012	16
311	20130213	Brinjal (R)	7.11.2012	14
312	20130214	Brinjal (R)	8.11.2012	14
313	20130215	Brinjal (R)	9.11.2012	11
314	20130216	Brinjal (R)	10.11.2012	13
315	20130218	Brinjal (R)	11.11.2012	12
316	20130219	Brinjal (R)	12.11.2012	12
317	20130220	Brinjal (R)	13.11.2012	13
318	20130222	Brinjal (R)	14.11.2012	13
319	20130223	Brinjal (R)	15.11.2012	13
320	20130225	Brinjal (R)	16.11.2012	13
321	20130226	Brinjal (R)	17.11.2012	12
322	20130227	Brinjal (R)	18.11.2012	13
323	20130228	Brinjal (R)	19.11.2012	18
324	20130301	Brinjal (R)	20.11.2012	17
325	20130302	Brinjal (R)	21.11.2012	17
326	20130304	Brinjal (R)	22.11.2012	21
327	20130305	Brinjal (R)	23.11.2012	25
328	20130306	Brinjal (R)	24.11.2012	20
329	20130307	Brinjal (R)	25.11.2012	19
330	20130308	Brinjal (R)	26.11.2012	18
331	20130309	Brinjal (R)	27.11.2012	18
332	20130311	Brinjal (R)	28.11.2012	22
333	20130312	Brinjal (R)	29.11.2012	21
334	20130313	Brinjal (R)	30.11.2012	21
335	20130314	Brinjal (R)	1.12.2012	19
336	20130315	Brinjal (R)	2.12.2012	18
337	20130316	Brinjal (R)	3.12.2012	18
338	20130318	Brinjal (R)	4.12.2012	19
339	20130319	Brinjal (R)	5.12.2012	19
340	20130320	Brinjal (R)	6.12.2012	19
341	20130321	Brinjal (R)	7.12.2012	17
342	20130322	Brinjal (R)	8.12.2012	16
343	20130323	Brinjal (R)	9.12.2012	16
344	20130325	Brinjal (R)	10.12.2012	18
345	20130326	Brinjal (R)	11.12.2012	20
346	20130327	Brinjal (R)	12.12.2012	20
347	20130401	Brinjal (R)	13.12.2012	20
